# Generated with ADRIA.jl v0.10.0 on 2023-11-25_11_53_14_950
component,fieldname,val,bounds,default_bounds,ptype,dists,criteria_keywords,lower_bound,upper_bound,is_constant,name,description
EnvironmentalLayer,dhw_scenario,1,"(1.0, 51.0)","(1.0, 51.0)",integer,unif,,1.0,51.0,false,DHW Scenario,DHW scenario member identifier.
EnvironmentalLayer,wave_scenario,1,"(1.0, 51.0)","(1.0, 51.0)",integer,unif,,1.0,51.0,false,Wave Scenario,Wave scenario member identifier.
EnvironmentalLayer,cyclone_mortality_scenario,1,"(1.0, 2.0)","(1.0, 2.0)",integer,unif,,1.0,2.0,false,Cyclone Mortality,Cyclone mortality scenario identifier.
Intervention,guided,0,"(-1.0, 19.0)","(-1.0, 19.0)",categorical,unif,,-1.0,19.0,false,Guided,Choice of MCDA approach.
Intervention,N_seed_TA,0,"(0.0, 1.000001e6)","(0.0, 1.000001e6)",integer,unif,,0.0,1.000001e6,false,Seeded Tabular Acropora,Number of Tabular Acropora to seed per deployment year.
Intervention,N_seed_CA,0,"(0.0, 1.000001e6)","(0.0, 1.000001e6)",integer,unif,,0.0,1.000001e6,false,Seeded Corymbose Acropora,Number of Corymbose Acropora to seed per deployment year.
Intervention,N_seed_SM,0,"(0.0, 1.000001e6)","(0.0, 1.000001e6)",integer,unif,,0.0,1.000001e6,false,Seeded Small Massives,Number of small massives/encrusting to seed per deployment year.
Intervention,fogging,0.16,"(0.0, 0.3, 0.5333333333333333)","(0.0, 0.3, 0.5333333333333333)",real,triang,,0.0,0.3,false,Fogging,Assumed reduction in bleaching mortality.
Intervention,SRM,0.0,"(0.0, 7.0, 0.0)","(0.0, 7.0, 0.0)",real,triang,,0.0,7.0,false,SRM,Reduction in DHWs due to shading.
Intervention,a_adapt,0.0,"(0.0, 8.0, 0.0)","(0.0, 8.0, 0.0)",real,triang,,0.0,8.0,false,Assisted Adaptation,Assisted adaptation in terms of DHW resistance.
Intervention,seed_years,10,"(5.0, 75.0, 0.07142857142857142)","(5.0, 75.0, 0.07142857142857142)",integer,triang,,5.0,75.0,false,Years to Seed,Number of years to seed for.
